All,બધા
None,"કંઈ નહીં"
"Allowed Scopes","માન્ય અવકાશ"
"You need more permissions to apply some of the rule updates.","કેટલાક નિયમ સુધારાઓ લાગુ કરવા માટે તમારે વધુ પરવાનગીની જરૂર છે."
"More permissions are needed to save this item.","આ આઇટમને સાચવવા માટે વધુ પરવાનગીઓની જરૂર છે."
"You need more permissions to access website ""%1"".","તમને વેબસાઇટ ""%1"" ઍક્સેસ કરવા માટે વધુ પરવાનગીઓની જરૂર છે."
"Role Scopes","ભૂમિકા સ્કોપ્સ"
Custom,શિરસ્તો
"Read Details","વિગતો વાંચો"
"Mark as Read","વાંચો તરીકે ચિહ્નિત કરો"
"Are you sure?","શું તમે ખાતરી કરો છો?"
Remove,"દૂર કરો"
"Messages Inbox","સંદેશાઓ ઇનબોક્સ"
"You have %1 new system messages","તમારી પાસે %1 નવો સિસ્ટમ સંદેશાઓ છે"
"You have %1 new system message","તમારી પાસે %1 નવો સિસ્ટમ સંદેશ છે"
"Incoming Message","આવનારી સંદેશ"
close,બંધ
Notifications,સૂચનાઓ
"The message has been marked as Read.","સંદેશ વાંચવા તરીકે ચિહ્નિત કરવામાં આવ્યો છે."
"We couldn't mark the notification as Read because of an error.","ભૂલને લીધે અમે સૂચનાને વાંચી તરીકે ચિહ્નિત કરી શક્યાં નથી."
"Please select messages.","સંદેશાઓ પસંદ કરો."
"A total of %1 record(s) have been marked as Read.","કુલ %1 રેકોર્ડ (ઓ) વાંચવા તરીકે ચિહ્નિત કરવામાં આવ્યા છે."
"Total of %1 record(s) have been removed.","કુલ %1 રેકોર્ડ્સ દૂર કરવામાં આવ્યાં છે."
"We couldn't remove the messages because of an error.","ભૂલને કારણે અમે સંદેશાઓને દૂર કરી શક્યા નથી."
"The message has been removed.","સંદેશ દૂર કરવામાં આવ્યો છે."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","તમે બધી તાજેતરની સિસ્ટમ સૂચનાઓ જોઈ અને ઉકેલી લીધી છે. સૂચના ચેતવણીને સાફ કરવા માટે કૃપા કરીને વેબ પૃષ્ઠને રિફ્રેશ કરો."
"1 Hour","1 કલાક"
"2 Hours","2 કલાક"
"6 Hours","6 કલાક"
"12 Hours","12 કલાક"
"24 Hours","24 કલાક"
critical,નિર્ણાયક
major,મુખ્ય
minor,નાનો
notice,સૂચના
"Wrong message type","ખોટો સંદેશો પ્રકાર"
"Wrong notification ID specified.","ખોટી સૂચના આઇડી ઉલ્લેખિત."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ને બેઝ અસુરક્ષિત URL / બેઝ સુરક્ષિત URL જાહેર કરવા માટે ઉત્પાદન વાતાવરણમાં ઉપયોગ કરવાની ભલામણ કરવામાં આવી નથી. અમે તમારા Magento <a href=""%1""> ગોઠવણી </a> માં આ મૂલ્યને બદલવાની ભલામણ કરીએ છીએ."
"One or more of the Cache Types are invalidated: %1. ","કેશ પ્રકારોમાંથી એક અથવા વધુ અમાન્ય છે: % 1. "
